source,listing_type,title,price,location,bedrooms,bathrooms,size_sqm,property_type,url,scraped_at
PigiaMe,Sale,7 Bed House in Runda,"KSh 130,000,000","Runda, Nairobi",7 bed,,,,https://www.pigiame.co.ke/listings/7-bed-house-in-runda-6497930,2026-02-23T16:23:34.437178
PigiaMe,Sale,7 Bed House in Runda,"KSh 130,000,000","Runda, Nairobi",7 bed,,,,,2026-02-23T16:23:34.443075
PigiaMe,Sale,Five bedroom house for sale in Nkoroi ongata rongai,"KSh 38,000,000","Ongata Rongai, Nairobi",,,,,https://www.pigiame.co.ke/listings/five-bedroom-house-for-sale-in-nkoroi-ongata-rongai-6425907,2026-02-23T16:23:34.512330
PigiaMe,Sale,Five bedroom house for sale in Nkoroi ongata rongai,"KSh 38,000,000","Ongata Rongai, Nairobi",,,,,https://www.pigiame.co.ketel:+254722569326,2026-02-23T16:23:34.519342
PigiaMe,Sale,Five bedroom house for sale in Nkoroi ongata rongai,"KSh 38,000,000","Ongata Rongai, Nairobi",,,,,,2026-02-23T16:23:34.521632
PigiaMe,Sale,5 Bed House with En Suite in Thigiri,"KSh 130,000,000","Westlands, Nairobi",5 bed,,,,https://www.pigiame.co.ke/listings/5-bed-house-with-en-suite-in-thigiri-5863503,2026-02-23T16:23:34.531652
PigiaMe,Sale,5 Bed House with En Suite in Thigiri,"KSh 130,000,000","Westlands, Nairobi",5 bed,,,,,2026-02-23T16:23:34.536272
PigiaMe,Sale,4 Bed Townhouse with En Suite in Brookside,"KSh 60,000,000","Westlands, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-townhouse-with-en-suite-in-brookside-6384884,2026-02-23T16:23:34.593184
PigiaMe,Sale,4 Bed Townhouse with En Suite in Brookside,"KSh 60,000,000","Westlands, Nairobi",4 bed,,,,,2026-02-23T16:23:34.599464
PigiaMe,Sale,4 Bed Villa with En Suite at Machakos Junction,"KSh 20,000,000","Mlolongo, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-villa-with-en-suite-at-machakos-junction-5554903,2026-02-23T16:23:34.687597
PigiaMe,Sale,4 Bed Villa with En Suite at Machakos Junction,"KSh 20,000,000","Mlolongo, Nairobi",4 bed,,,,,2026-02-23T16:23:34.693971
PigiaMe,Sale,4 Bed House with En Suite in Kitisuru,"KSh 75,000,000","Kitisuru, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-house-with-en-suite-in-kitisuru-6128285,2026-02-23T16:23:48.458600
PigiaMe,Sale,4 Bed House with En Suite in Kitisuru,"KSh 75,000,000","Kitisuru, Nairobi",4 bed,,,,,2026-02-23T16:23:48.463669
PigiaMe,Sale,6 Bed Townhouse with En Suite at Lavington Green,"KSh 96,000,000","Lavington, Nairobi",6 bed,,,,https://www.pigiame.co.ke/listings/6-bed-townhouse-with-en-suite-at-lavington-green-6563078,2026-02-23T16:23:48.522294
PigiaMe,Sale,6 Bed Townhouse with En Suite at Lavington Green,"KSh 96,000,000","Lavington, Nairobi",6 bed,,,,,2026-02-23T16:23:48.527070
PigiaMe,Sale,4 Bed House with En Suite in Karen,"KSh 75,000,000","Karen, Nairobi",4 bed,,,,https://www.pigiame.co.ke/listings/4-bed-house-with-en-suite-in-karen-5287037,2026-02-23T16:23:48.577118
PigiaMe,Sale,4 Bed House with En Suite in Karen,"KSh 75,000,000","Karen, Nairobi",4 bed,,,,,2026-02-23T16:23:48.582000
